Date,Open,High,Low,Close,Volume
2020-09-28,113.444,113.753,111.26,113.394,139565435.91119
2020-09-25,106.954,110.922,106.196,110.762,152043727.62922
2020-09-24,103.744,108.759,103.574,106.744,170049864.18361
2020-09-23,110.104,110.593,105.328,105.658,152791095.32846
2020-09-22,111.161,111.34,107.681,110.294,185572435.36837
2020-09-21,103.116,108.699,101.709,108.589,198404934.2085
2020-09-18,108.907,109.367,104.66,105.398,291052652.22371
2020-09-17,108.229,110.682,107.233,108.848,180458666.71225
2020-09-16,113.663,114.421,110.523,110.613,157158334.83534
2020-09-15,116.724,117.213,112.068,113.962,187180917.66415
2020-09-14,113.165,114.351,111.28,113.793,142077188.99791
2020-09-11,113.016,113.663,108.509,110.483,183347202.57223
2020-09-10,118.738,118.868,110.982,111.958,184780712.78868
2020-09-09,115.677,117.521,113.693,115.737,179373434.58806
2020-09-08,112.408,117.382,111.161,111.3,234547916.79675
2020-09-04,118.449,122.028,109.377,119.316,337180601.4818
2020-09-03,125.198,127.092,118.868,119.236,261141704.8715
2020-09-02,135.736,136.105,125.288,129.605,202870681.2708
2020-09-01,130.961,132.964,128.777,132.356,154566647.67399
2020-08-31,125.846,129.206,124.291,127.292,228806161.47177
2020-08-28,124.301,124.729,122.885,123.115,190209877.54496
2020-08-27,125.427,125.746,122.157,123.303,157691271.46285
2020-08-26,124.471,125.278,123.373,124.809,165263868.26422
2020-08-25,123.005,123.473,121.38,123.125,214403911.11378
2020-08-24,126.952,127.032,122.267,124.151,350694505.43298
2020-08-21,117.641,123.165,117.631,122.675,342702983.70668
2020-08-20,114.172,116.784,114.152,116.674,128652197.42381
2020-08-19,114.401,115.577,114.032,114.132,147539193.6182
2020-08-18,112.796,114.421,112.457,113.982,107086030.0345
2020-08-17,114.481,114.511,112.408,113.055,121205447.31449
2020-08-14,113.274,113.434,111.52,113.344,167841774.51868
2020-08-13,112.876,114.461,112.388,113.444,212970749.9588
2020-08-12,109.007,111.75,108.809,111.49,168226607.77294
2020-08-11,110.453,110.962,107.631,107.901,190486085.4763
2020-08-10,111.081,112.238,108.509,111.211,215324030.13917
2020-08-07,111.68,112.138,108.799,109.596,200768792.55642
2020-08-06,108.719,112.656,108.111,112.158,205582353.29874
2020-08-05,107.701,108.709,107.223,108.369,123892354.03265
2020-08-04,107.462,109.097,106.715,107.981,175484140.48377
2020-08-03,106.525,109.925,106.226,107.263,312951800.18646
2020-07-31,101.311,104.79,99.2672,104.64,380126276.63999
2020-07-30,92.7422,94.8218,92.3293,94.7161,160593383.60749
2020-07-29,92.3135,93.767,92.2775,93.5846,91736415.801193
2020-07-28,92.9216,93.0991,91.8169,91.8219,105239788.72818
2020-07-27,92.2745,93.45,92.0452,93.3562,123102478.0684
2020-07-24,89.5897,91.5437,87.7793,91.1938,188327648.80305
2020-07-23,95.5117,95.5884,90.5986,91.4201,200073384.86438
2020-07-22,95.2086,96.4718,95.1189,95.7798,90388127.740082
2020-07-21,97.6541,97.7289,95.2585,95.5117,105260439.52598
2020-07-20,94.9364,96.9902,94.5895,96.8485,91724887.745083
2020-07-17,95.4987,95.6582,94.3692,94.8507,93622996.777971
2020-07-16,95.08,95.9115,94.432,95.0421,112300262.19396
2020-07-15,97.4717,97.7269,95.0122,96.2275,155584463.79023
2020-07-14,93.3852,95.7619,92.4381,95.5685,173653052.25704
2020-07-13,95.7718,98.4278,93.7939,94.0122,194634667.05786
2020-07-10,93.8707,94.5077,93.2526,94.4479,91663356.632753
2020-07-09,94.7879,94.8407,93.2197,94.2156,127599879.38936
2020-07-08,92.7342,93.9105,92.6444,93.8787,118915948.08808
2020-07-07,92.4121,93.2027,91.6305,91.7442,114175814.63364
2020-07-06,91.0792,92.5019,91.0483,92.0283,120504080.50113
2020-07-02,90.5528,91.1958,89.5179,89.6296,115818017.47151
2020-07-01,89.8788,90.4312,89.5828,89.6296,112462312.98045
2020-06-30,88.6387,90.0922,88.6187,89.7991,142407696.04954
2020-06-29,86.9568,89.1531,86.4733,89.0584,132681293.65778
2020-06-26,89.7044,89.9277,86.8999,87.0525,208454353.87594
2020-06-25,88.7912,89.849,88.0205,89.809,139664850.22399
2020-06-24,89.849,90.7831,88.2548,88.6327,195624099.86219
2020-06-23,89.6027,91.6684,89.178,90.2278,215460454.99877
2020-06-22,86.4882,88.4851,86.4413,88.3416,137555243.03823
2020-06-19,87.2987,87.7743,84.9639,86.0884,268595833.41819
